,Total spend
2000,493740.84053
2001,493740.84053
2002,642556.954816
2003,1083219.33577
2004,2575369.38696
2005,6937106.16672
2006,123825537.546
2007,229117221.272
2008,355354101.739
2009,441212645.597
2010,509532561.57
2011,516967830.16
2012,553908907.981
2013,579270672.665
2014,625094331.648
2015,706739412.067
2016,725264300.999
2017,727026774.117
2018,570720681.987
2019,385134224.512
2020,201711490.761
2021,95114348.2154
2022,37637323.7045
2023,8341861.5276
2024,2008618.5
2025,69720.6363636
2027,69720.6363636
