,2016_title_%,2016_abstract_%,2017_title_%,2017_abstract_%,2018_title_%,2018_abstract_%,2019_title_%,2019_abstract_%,2000_title_%,2000_abstract_%,2001_title_%,2001_abstract_%,2002_title_%,2002_abstract_%,2003_title_%,2003_abstract_%,2004_title_%,2004_abstract_%,2005_title_%,2005_abstract_%,2006_title_%,2006_abstract_%,2007_title_%,2007_abstract_%,2008_title_%,2008_abstract_%,2009_title_%,2009_abstract_%,2010_title_%,2010_abstract_%,2011_title_%,2011_abstract_%,2012_title_%,2012_abstract_%,2013_title_%,2013_abstract_%,2014_title_%,2014_abstract_%,2015_title_%,2015_abstract_%
software,0.03,0.39,0.02,0.51,0.0,0.01,,,,,,,,,,,,,,0.01,0.05,0.46,0.06,0.51,0.04,0.58,0.04,0.41,0.05,0.46,0.04,0.33,0.02,0.42,0.05,0.54,0.03,0.53,0.03,0.44
software developer,,0.0,,0.01,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.01,,0.0,,,,0.01,,0.01,,0.01,,0.02
software development,0.0,0.02,0.0,0.03,,,,,,,,,,,,,,,,,0.0,0.03,0.01,0.03,0.0,0.02,,0.04,,0.04,,0.02,,0.02,0.0,0.05,0.0,0.03,,0.03
programming,0.02,0.1,0.02,0.09,,0.0,,,,,,,0.0,,,,0.01,0.0,0.0,0.0,0.03,0.12,0.02,0.11,0.03,0.11,0.02,0.09,0.02,0.11,0.02,0.06,0.01,0.07,0.02,0.15,0.01,0.09,0.02,0.08
program,0.07,1.55,0.06,1.4,,0.04,,,,0.01,,,0.0,0.0,,0.01,0.01,0.03,0.0,0.07,0.09,1.46,0.07,1.61,0.09,1.59,0.14,1.53,0.08,1.59,0.11,1.18,0.11,1.66,0.09,1.7,0.13,1.64,0.1,1.61
computational,0.05,0.52,0.04,0.48,,0.01,,0.0,,,,,,,,,0.0,0.0,0.0,0.01,0.07,0.45,0.06,0.52,0.08,0.51,0.04,0.48,0.04,0.52,0.03,0.48,0.05,0.46,0.05,0.56,0.03,0.49,0.05,0.66
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high performance computing,,0.02,,0.02,,,,,,,,,,,,,,,,,,0.01,,0.02,,0.02,,0.05,0.0,0.04,0.01,0.04,0.0,0.05,0.0,0.04,0.02,0.06,0.01,0.04
simulation,0.02,0.47,0.05,0.48,,0.01,,,,,,,,,,,,,,,0.09,0.5,0.1,0.63,0.05,0.53,0.04,0.52,0.06,0.55,0.08,0.54,0.06,0.56,0.07,0.64,0.03,0.46,0.05,0.53
modeling,0.01,0.07,0.01,0.07,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.05,0.01,0.07,0.01,0.06,0.02,0.08,0.01,0.11,0.0,0.08,0.01,0.11,0.01,0.13,0.01,0.12,0.01,0.09
data visualisation,,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,0.0,,0.01,,,,0.0,,,,0.0,,0.01,,0.01,0.01,0.01,0.0,0.01
data visualization,,0.0,,0.01,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,0.01,0.0,0.0,,0.0,,0.0
